"","id","recclass","mass","fell_or_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"5055",16953,"L6",230000,"Fell",1860,40,-81.76667,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"5056",16954,"L4",12000,"Fell",1994,15.36667,35.68333,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"5062",16960,"H5",19256,"Fell",2003,29.94718,-90.10976,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"5066",16966,"LL3.6",1393,"Fell",1883,-7.45,111.41667,"LL","Chondrite","Stony","Ordinary","LL","1",0.297273742080897
"5067",16968,"Iron, ungrouped",37500,"Fell",1900,13.85,-4.38333,"Iron","Achondrite","Iron",NA,NA,"2",0.463225690897741
"5069",16970,"Stone-uncl",367,"Fell",1750,49.03333,-1.43333,"Stony",NA,"Stony",NA,NA,"1",0.297273742080897
"5071",16976,"H4",3996,"Fell",1935,52.45,78.63333,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"5072",16977,"L4",6000,"Fell",1954,56.11667,37.33333,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"5075",16980,"Iron, IVA",14250,"Fell",1975,29.86667,121.48333,"Iron IVA","Achondrite","Iron","Magmatic","Siderite","1",0.297273742080897
"5076",16981,"C3-ung",4610,"Fell",1983,32.925,105.90667,"Chondrite","Chondrite","Stony","Carbonaceous",NA,"2",0.463225690897741
"5077",16982,"H3-4",467,"Fell",1897,34.2,131.56667,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"5078",16983,"Iron, IID",17200,"Fell",1912,-28.56667,30.7,"Iron IID","Achondrite","Iron","Magmatic","Siderite","1",0.297273742080897
"5079",16984,"Eucrite-pmict",2300,"Fell",1823,44.08333,-69.48333,"Eucrite","Achondrite","Stony","Asteroidal","H-E-D Vesta","10",0.461815233876118
"5080",16985,"H4-6",483.7,"Fell",1991,40.08528,-86.055,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"5083",16988,"L6",472,"Fell",860,33.725,130.75,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"5084",16989,"CM2",4000,"Fell",1879,-32.36667,-59.83333,"CM","Chondrite","Stony","Carbonaceous","CM-CO","2",0.463225690897741
"5089",16994,"Iron, IIIAB",1050,"Fell",1918,36.21667,-92.26667,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite","11",0.00485781484723708
"5262",17922,"Aubrite",1100000,"Fell",1948,39.68333,-99.86667,"Aubrite","Achondrite","Stony","Asteroidal",NA,"2",0.463225690897741
"5264",17930,"H4",177,"Fell",1971,45.29167,11.52722,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"5267",17933,"Ureilite",1900,"Fell",1886,54.81667,46,"Ureilite","Achondrite","Stony","Primitive or asteroidal",NA,"1",0.297273742080897
"5268",17934,"Stone-uncl",367,"Fell",1662,58.55,31.33333,"Stony",NA,"Stony",NA,NA,"10",0.461815233876118
"5269",17935,"OC",1001,"Fell",1908,56,22,"Chondrite","Chondrite","Stony",NA,NA,"10",0.461815233876118
"5270",17936,"L6",250,"Fell",1933,42.91667,102.46667,"L","Chondrite","Stony","Ordinary","L","2",0.463225690897741
"5272",17938,"H5",50000,"Fell",1978,24.3,-102.13333,"H","Chondrite","Stony","Ordinary","H","13",0.428663281861922
"5276",17959,"H6",5000,"Fell",1851,41.63333,0.75,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
