"","lat_gs","long_gs","ffscore","fallorfind"
"882",46,5,1,"fall"
"883",47,5,1,"fall"
"884",51,5,1,"fall"
"885",52,5,1,"fall"
"886",60,5,1,"fall"
"887",61,5,1,"fall"
"888",18,6,-1,"find"
"889",24,6,-1,"find"
"890",27,6,-1,"find"
"891",43,6,-1,"find"
"892",44,6,1,"fall"
"893",45,6,1,"fall"
"894",46,6,0,"both"
"895",47,6,1,"fall"
"896",48,6,1,"fall"
"897",49,6,-1,"find"
"898",50,6,0,"both"
"899",51,6,1,"fall"
"900",52,6,1,"fall"
"901",61,6,-1,"find"
"902",11,7,1,"fall"
"903",12,7,1,"fall"
"904",18,7,-1,"find"
"905",28,7,1,"fall"
"906",44,7,-1,"find"
"907",45,7,1,"fall"
"908",46,7,1,"fall"
"909",47,7,0,"both"
"910",49,7,1,"fall"
"911",50,7,1,"fall"
"912",52,7,1,"fall"
"913",53,7,-1,"find"
"914",62,7,-1,"find"
"915",5,8,-1,"find"
"916",6,8,1,"fall"
"917",7,8,1,"fall"
"918",8,8,1,"fall"
"919",11,8,1,"fall"
"920",13,8,-1,"find"
"921",19,8,1,"fall"
"922",26,8,-1,"find"
"923",27,8,-1,"find"
"924",31,8,-1,"find"
"925",35,8,1,"fall"
"926",36,8,1,"fall"
"927",44,8,1,"fall"
"928",45,8,1,"fall"
"929",48,8,1,"fall"
"930",49,8,1,"fall"
"931",50,8,0,"both"
"932",51,8,1,"fall"
"933",52,8,0,"both"
"934",53,8,-1,"find"
"935",58,8,1,"fall"
"936",9,9,1,"fall"
"937",10,9,0,"both"
"938",12,9,1,"fall"
"939",19,9,-1,"find"
"940",20,9,-1,"find"
"941",31,9,-1,"find"
"942",32,9,-1,"find"
"943",33,9,-1,"find"
"944",36,9,1,"fall"
"945",39,9,1,"fall"
"946",42,9,1,"fall"
"947",44,9,0,"both"
"948",45,9,0,"both"
"949",46,9,-1,"find"
"950",50,9,1,"fall"
"951",51,9,1,"fall"
"952",52,9,0,"both"
"953",53,9,1,"fall"
"954",54,9,-1,"find"
"955",58,9,1,"fall"
"956",11,10,1,"fall"
"957",17,10,-1,"find"
"958",18,10,-1,"find"
"959",20,10,-1,"find"
"960",21,10,-1,"find"
"961",25,10,-1,"find"
"962",28,10,-1,"find"
"963",29,10,-1,"find"
"964",30,10,-1,"find"
"965",31,10,-1,"find"
"966",32,10,1,"fall"
"967",33,10,-1,"find"
"968",34,10,1,"fall"
