"","id","recclass","mass","fall_or_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","over_under","coords.x1","coords.x2","optional"
"5636",22589,"L6",355,"Fell",1916,38.66667,116.13333,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897,116.13333,38.66667,TRUE
"4150",12009,"H5",450,"Found",1989,21.55,1.53333,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233,1.53333,21.55,TRUE
"7082",30501,"CV3",781,"Found",2001,27.28133,16.40833,"CV","Chondrite","Stony","Carbonaceous","CV-CK","11",0.00485781484723708,16.40833,27.28133,TRUE
"9061",54636,"L5",635,"Found",1999,-23.15639,-70.47458,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,-70.47458,-23.15639,TRUE
"2460",6929,"H5",630,"Found",2000,18.41533,54.18233,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,54.18233,18.41533,TRUE
"5717",22686,"H3.9",397.1,"Found",1984,33.78333,-103.55,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741,-103.55,33.78333,TRUE
"6250",23533,"H5",9780,"Found",1962,38.7,-100.35,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741,-100.35,38.7,TRUE
"5030",16932,"H6",13100,"Found",1977,34.58333,-102.05,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741,-102.05,34.58333,TRUE
"5727",22696,"L5",32.4,"Found",1969,34.08333,-103.5,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897,-103.5,34.08333,TRUE
"3369",10082,"Iron, IIIAB",13500,"Found",1977,54.99056,9.49194,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite","2",0.463225690897741,9.49194,54.99056,TRUE
"2952",7421,"H5/6",988,"Found",2001,19.1046,54.80945,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,54.80945,19.1046,TRUE
"878",5264,"H6",750,"Fell",1934,-30.88333,-64.55,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741,-64.55,-30.88333,TRUE
"1127",5533,"L6",713,"Found",1995,27.09267,16.31317,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,16.31317,27.09267,TRUE
"7971",47356,"L5/6",31.8,"Found",2005,32.16657,-111.11718,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,-111.11718,32.16657,TRUE
"7304",33879,"LL4",849,"Found",2005,18.741611,54.26175,"LL","Chondrite","Stony","Ordinary","LL","11",0.00485781484723708,54.26175,18.741611,TRUE
"8324",51041,"H5",540,"Found",2009,22.79506,55.20775,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,55.20775,22.79506,TRUE
"7327",34006,"H~5",70.5,"Found",2004,21.04753,57.31763,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,57.31763,21.04753,TRUE
"4881",16737,"H5",3520,"Fell",1810,52.45,-8.33333,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741,-8.33333,52.45,TRUE
"9869",57325,"H~5",1198,"Found",2011,-24.85,-70.53333,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,-70.53333,-24.85,TRUE
"6663",24047,"Iron, ungrouped",150000,"Found",1992,29.47,-105.8,"Iron","Achondrite","Iron",NA,NA,"11",0.00485781484723708,-105.8,29.47,TRUE
"1794",6202,"L6",168,"Found",1999,27.11667,16.18333,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,16.18333,27.11667,TRUE
