"","X","id","recclass","mass","fell_or_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"233",3192,7661,"L5",438,"Fell",1907,40,29,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"639",5000,16898,"Martian (nakhlite)",10000,"Fell",1911,31.31667,30.35,"Nakhilite","Achondrite","Stony","Martian","SNC",14,0.498018659921233
"937",6607,23984,"H5",2232,"Fell",1986,32.94667,118.99,"H","Chondrite","Stony","Ordinary","H",2,0.463225690897741
"585",4814,16626,"L6",870,"Fell",1897,50.58333,11.1,"L","Chondrite","Stony","Ordinary","L",2,0.463225690897741
"175",932,5325,"L6",31500,"Fell",1812,46.68333,1.05,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"28",455,466,"L6",228000,"Fell",1883,45.26667,10.15,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"1073",7952,47343,"L5",89.3,"Fell",1996,45.34583,-92.05167,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"107",671,5039,"L6",100,"Fell",1893,20.83333,71.46667,"L","Chondrite","Stony","Ordinary","L",0,71.3451083182367
"679",5272,17938,"H5",50000,"Fell",1978,24.3,-102.13333,"H","Chondrite","Stony","Ordinary","H",13,0.428663281861922
"644",5008,16907,"H6",529,"Fell",1984,32.11667,121.8,"H","Chondrite","Stony","Ordinary","H",0,71.3451083182367
"119",695,5065,"L5",705,"Fell",1941,40.91667,-78.08333,"L","Chondrite","Stony","Ordinary","L",2,0.463225690897741
"882",6300,23584,"L6",3200,"Fell",1863,24.33333,90.16667,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"296",3466,10840,"Stone-uncl",2500,"Fell",1977,32.9,115.9,"Stony",NA,"Stony",NA,NA,1,0.297273742080897
"752",5450,18811,"H4",7800,"Fell",1933,12,105.48333,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"146",804,5181,"Aubrite",1500,"Fell",1852,26.78333,82.83333,"Aubrite","Achondrite","Stony","Asteroidal",NA,1,0.297273742080897
"625",4921,16804,"L5",110000,"Fell",1991,18.7,4.8,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"359",4017,11869,"H5",3500,"Fell",1922,55.46667,13.78333,"H","Chondrite","Stony","Ordinary","H",0,71.3451083182367
"218",2218,6660,"L6",230,"Fell",1967,39.7825,-104.93056,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"1105",8860,52843,"L6",329.7,"Fell",2010,38.70066,-77.21163,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"401",4218,12086,"H5",222,"Fell",1964,31.91667,104.91667,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"120",698,5068,"L5",2381,"Fell",1906,36.83333,-97.33333,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"755",5455,18816,"Stone-uncl",367,"Fell",1843,41.36667,-6.23333,"Stony",NA,"Stony",NA,NA,2,0.463225690897741
"355",3998,11848,"H4",1110.6,"Fell",1910,35.2945,136.70033,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"23",447,458,"Eucrite-mmict",252,"Fell",2002,45.82133,6.01533,"Eucrite","Achondrite","Stony","Asteroidal","H-E-D Vesta",11,0.00485781484723708
"737",5419,18179,"L6",367,"Fell",1989,11.33367,-3.54217,"L","Chondrite","Stony","Ordinary","L",16,1.82339952891488
"912",6417,23732,"Stone-uncl",10400,"Fell",1623,50.38333,-3.95,"Stony",NA,"Stony",NA,NA,2,0.463225690897741
"85",618,4974,"H4",21000,"Fell",1892,45.41667,-98.31667,"H","Chondrite","Stony","Ordinary","H",2,0.463225690897741
"2",2,2,"H6",720,"Fell",1951,56.18333,10.23333,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"406",4310,12199,"LL6",483,"Fell",1974,-11.85,15.83333,"LL","Chondrite","Stony","Ordinary","LL",1,0.297273742080897
"880",6298,23582,"H5",3900,"Fell",1971,43.5,125.66667,"H","Chondrite","Stony","Ordinary","H",2,0.463225690897741
"568",4765,15443,"Howardite",1600,"Fell",1803,48.13333,12.61667,"Howardite","Achondrite","Stony","Asteroidal","H-E-D Vesta",10,0.461815233876118
"268",3333,10042,"CM2",113,"Fell",1940,19.03333,81.89167,"CM","Chondrite","Stony","Carbonaceous","CM-CO",16,1.82339952891488
