"","X","id","recclass","mass","fell_or_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"7596",7596,35607,"L6",2519.3,"Found",2005,19.90637,56.4936,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"9801",9801,57172,"CO3",98,"Found",2011,-25.23333,-69.71667,"CO","Chondrite","Stony","Carbonaceous","CM-CO",11,0.00485781484723708
"6287",6287,23571,"H3",10175,"Found",2002,18.50755,53.99325,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"7104",7104,30526,"LL5",2412,"Found",2002,19.165,54.40333,"LL","Chondrite","Stony","Ordinary","LL",11,0.00485781484723708
"2013",2013,6423,"Martian (shergottite)",6.2,"Found",1998,27.5,16.5,"Shergottite","Achondrite","Stony","Martian","SNC",11,0.00485781484723708
"2912",2912,7381,"H5",1332,"Found",2001,19.12012,54.814,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"2113",2113,6523,"Eucrite-pmict",933,"Found",2002,26.7375,16.8995,"Eucrite","Achondrite","Stony","Asteroidal","H-E-D Vesta",11,0.00485781484723708
"3795",3795,11641,"H5",650,"Found",1995,28.55333,13.029,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"7836",7836,45868,"H4",497.4,"Found",2006,19.69992,56.58197,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"7075",7075,30494,"L6",512,"Found",2004,35.03842,-116.75818,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"1894",1894,6304,"L6",505,"Found",1999,27.8325,15.88533,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"2964",2964,7433,"L6",110,"Found",2001,19.22157,54.62478,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"1554",1554,5960,"CK5",946,"Found",1998,27.347,16.08833,"CK","Chondrite","Stony","Carbonaceous","CV-CK",11,0.00485781484723708
"3574",3574,11201,"L5",82000,"Found",1912,39.93333,-99.21667,"L","Chondrite","Stony","Ordinary","L",2,0.463225690897741
"5538",5538,18911,"H6",90,"Found",1991,30.28306,3.62,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"1977",1977,6387,"L6",63.7,"Found",1999,26.98483,16.44083,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"8964",8964,54444,"L5",168,"Found",2010,-25.449,-69.88033,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"2129",2129,6540,"H5",30000,"Found",1986,29.6425,11.73222,"H","Chondrite","Stony","Ordinary","H",14,0.498018659921233
"8670",8670,51988,"L5",2706,"Found",2009,20.89485,55.50613,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
